id,Tweet_english,Cos_Sim
1,australia nears omicron peak as daily infections hover around records  ,2
2,indias covid vaccination coverage crosses  crore ,2
3,covid delhi records  cases  deaths testing low  ,2
4,covid  west bengal registers  fresh cases amp  deaths today active cases rise to  positivity rat ,2
5,corona is a unique virus as it has a very high rate of mutation i hope as we move forward in this year probably we ,2
6,maharashtra   police personnel tested positive for covid in the last  hours total  personnel died so far ,2
7,"covid   new cases amp  deaths reported in maharashtra today active caseload stands at 

 omic ",2
8, cases of omicron variant found in jharkhand today  samples had been sent to bhubaneswar for genome sequencin ,2
9,assam covid cases   new cases  deaths and  recoveries reported today active cases  ,2
10,covid  goa reports  new cases amp  deaths today active caseload at  ,2
11,pil in sc challenges bombay hc circular reducing working hours due to rise in covid cases  ,2
12,maharashtra   new cases and  deaths reported in the pune municipal corporation area today the total number ,2
13,covid   new cases amp  deaths in tamil nadu today active cases stand at  ,2
14,covid  mumbai reports  new cases amp  deaths today active cases  ,2
15,test positivity rises to  in karnataka with  new cases reported today karnataka minister dr k sudhakar ,2
16,chandigarh reports  new cases today active cases at  positivity rate at  ,2
17,in todays covid review meeting it has been decided that no changes are required in ongoing guidelines and restr ,2
18,"kerala reports  new covid cases amp  deaths today active caseload stands at 

death toll 

 ",2
19,brazil begins vaccination of children aged  against covid  ,2
20,covid  delhi reports  new cases amp  deaths in last  hours active cases rise to  positivity rate ,2
21,first indian study provides evidence of omicron variants community transmission  ,2
22,covid  mizoram reports  new cases today active case tally at  ,2
23,karnatakas stock of three key drugs to treat covid will last only a month  ,2
24,omicron looks less severe but should not be taken lightly experts ,2
25,delta still dominant strain of covid says maharashtra health official amid omicron scare  ,2
26,west bengal extends covid restrictions till january  allows fairs marriage functions  ,2
27,ec reschedules polls to  municipal corporations in bengal to feb  amid rising covid cases  ,2
28,"noida fever patients flocking to opds most testing covid positive say doctors 

 ",2
29,evidence of early community transmission of omicron b in delhi department of clinical virology at the ins ,2
30,"trichy jallikattu bull gores its owner to death 

read  ",2
31,cases peak has arrived lets  see when the decline beginsseems like cases have begun to slow down delhi healt ,2
32,"onemonthold baby fights off covid discharged from delhi hospital in five days 

read  ",2
33,"as exbjp ministers join samajwadi party fir for covid norms breach 

 ",2
34,"paracetamol good enough in mild cases of covid experts 

read  ",2
35,india reports  lakh new covid cases and  deaths in last  hours omicron tally at  ,2
